Key	Ko	En	Cn	Description
map.name.1	초급 레벨		新手关	
map.name.2	숲 1		森林1	
map.name.3	숲 2		森林2	
map.name.4	숲 3		森林3	
map.name.5	숲 4		森林4	
map.name.6	성 1		城堡1	
map.name.7	캐슬 2		城堡2	
map.name.8	성 3		城堡3	
map.name.9	숲 5		森林5	
map.name.10	숲 6		森林6	
map.name.11	성 4		城堡4	
map.name.12	캐슬 5		城堡5	
map.name.13	숲 7		森林7	
map.name.14	숲 8		森林8	
map.name.15	동굴 1		洞穴1	
map.name.16	동굴 2		洞穴2	
map.name.17	화산 1		火山1	
map.name.18	마야 1		玛雅1	
map.name.19	사막 1		沙漠1	
map.name.20	얼음과 눈 1		冰雪1	
map.name.21	얼음과 눈 2		冰雪2	
map.name.22	셀 1		牢房1	
map.name.23	셀 2		牢房2	
map.name.24	셀 3		牢房3	
map.name.25	디아블로 1		暗黑1	
map.name.26	마야 2		玛雅2	
map.name.27	관목 1		灌木1	
map.name.28	관목 2		灌木2	
map.name.29	사막 2		沙漠2	
map.name.30	얼음과 눈 3		冰雪3	
map.name.31	화산 2		火山2	
map.name.32	디아블로 2		暗黑2	
map.name.33	디아블로 3		暗黑3	
map.name.34	디아블로 4		暗黑4	
map.name.35	디아블로 4		暗黑4	
map.name.36	포레스트 9		森林9	
map.name.37	숲 10		森林10	
map.name.38	캐슬 6		城堡6	
map.name.39	캐슬 7		城堡7	
map.name.40	동굴 3		洞穴3	
map.name.41	화산 3		火山3	
map.name.42	마야 3		玛雅3	
map.name.43	사막 3		沙漠3	
map.name.44	얼음과 눈 4		冰雪4	
map.name.45	얼음과 눈 5		冰雪5	
map.name.46	셀 4		牢房4	
map.name.47	셀 5		牢房5	
map.name.48	디아블로 5		暗黑5	
map.name.49	마야 4		玛雅4	
map.name.50	관목 3		灌木3	
map.name.51	관목 4		灌木4	
map.name.52	사막 4		沙漠4	
map.name.53	얼음과 눈 6		冰雪6	
map.name.54	화산 4		火山4	
map.name.55	디아블로 6		暗黑6	
map.name.56	디아블로 7		暗黑7	
map.name.57	디아블로 8		暗黑8	
map.name.58	숲 11		森林11	
map.name.59	숲 12		森林12	
map.name.60	캐슬 8		城堡8	
map.name.61	캐슬 9		城堡9	
map.name.62	동굴 4		洞穴4	
map.name.63	화산 5		火山5	
map.name.64	마야 5		玛雅5	
map.name.65	디아블로 9		暗黑9	
map.name.66	관목 5		灌木5	
map.name.67	사막 5		沙漠5	
map.name.68	얼음과 눈 7		冰雪7	
map.name.69	숲 13		森林13	
map.name.70	숲 14		森林14	
map.name.71	성 10		城堡10	
map.name.72	성 11		城堡11	
map.name.73	동굴 5		洞穴5	
map.name.74	화산 6		火山6	
map.name.75	마야 6		玛雅6	
map.name.76	사막 6		沙漠6	
map.name.77	얼음과 눈 8		冰雪8	
map.name.78	셀 6		牢房6	
map.name.79	셀 7		牢房7	
map.name.80	디아블로 10		暗黑10	
map.name.81	마야 7		玛雅7	
map.name.82	관목 6		灌木6	
map.name.83	사막 7		沙漠7	
map.name.84	얼음과 눈 9		冰雪9	
map.name.85	숲 15		森林15	
map.name.86	숲 16		森林16	
map.name.87	성 12		城堡12	
map.name.88	성 13		城堡13	
map.name.89	동굴 6		洞穴6	
map.name.90	화산 7		火山7	
map.name.91	마야 8		玛雅8	
map.name.92	디아블로 11		暗黑11	
map.name.93	관목 7		灌木7	
map.name.94	사막 8		沙漠8	
map.name.95	얼음과 눈 10		冰雪10	
map.name.96	숲 17		森林17	
map.name.97	숲 18		森林18	
map.name.98	성 14		城堡14	
map.name.99	성 15		城堡15	
map.name.100	동굴 7		洞穴7	
map.name.101	화산 8		火山8	
