Key	Ko	En	Cn	Description
hero.1.name	엘프 궁수		精灵射手	
hero.1.desc	5초간 연속 발사, 재사용 대기시간 %d초		连发5秒，冷却时间%d秒	
hero.2.name	전사		战士	
hero.2.desc	광검 공격 2~3회, 재사용 대기시간 %d초		狂刀攻击2-3次，冷却时间%d秒	
hero.3.name	머스킷병		火枪手	
hero.3.desc	5초간 대포 발사, 재사용 대기시간 %d초		火炮发射5秒，冷却时间%d秒	
hero.4.name	마법사		法师	
hero.4.desc	2초간 회오리, 재사용 대기시간 %d초		龙卷风2秒，冷却时间%d秒	
hero.5.name	망치신		锤神	
hero.5.desc	2초간 번개 공격 발동, 장애물 피해 %d% 감소		发出闪电攻击2秒; 障碍造成的伤害减少%d%	
hero.6.name	야만 전사		兽战士	
hero.6.desc	2초간 멧돼지 무리 공격, 재사용 대기시간 %d초		猪群攻击2秒，冷却时间为%d秒	
hero.7.name	화염의 드래곤		烈火龙	
hero.7.desc	3초간 연속 화염구 공격, 재사용 대기시간 %d초		连续火球攻击持续3秒，冷却时间为%d秒	
hero.8.name	마녀		恶魔女	
hero.8.desc	3초간 블랙홀 소환, 재사용 대기시간 %d초; 3단 점프 능력 보유		召唤一个黑洞持续3秒，冷却时间%d秒；拥有三段跳能力	
