Key	Ko	En	Cn	Description
pet.1.name	파워 버섯		力量蘑菇	
pet.1.brief_info	영웅의 체력 소모 감소		减少英雄体力消耗	
pet.1.lvdesc	체력 소모 속도 %d% 감소		体力消耗速度减慢%d%	
pet.1.string_Info	작은 몸에도 불구하고 용감한 마음을 간직하며, \n가장 용감한 전사를 돕고자 하는 이상과 용기를 지닌다.		虽然是小小的身体，仍然不改男孩勇敢的心，有着帮助最勇敢战士的理想觉悟和勇气	
pet.2.name	꼬마 미식가		小吃货	
pet.2.brief_info	10점 마법 과일 생요새		制造10分的魔法果	
pet.2.lvdesc	%d초 간격으로 10점짜리 마법 과일을 여러 개 생요새		间隔%ds制造多个10分的魔法果	
pet.2.string_Info	대마법사의 주방 보물인데, 어떤 이유에서인지 밖으로 흘러나왔다. \n순리에 따르는 낙천적인 요새격의 작은 불꽃은 차분하게 세상을 여행하며 다양한 맛을 즐긴다...		大巫师的厨房法宝，不知什么原因流落在外。有着顺其自然乐观性格的小火，淡定的一边游历人间一边品尝各种美...	
pet.3.name	클로버		三叶草	
pet.3.brief_info	달리기 속도 소폭 상승		奔跑时速度少量提升	
pet.3.lvdesc	영웅 이동 속도 %d% 증가		英雄移动速度增加%d%	
pet.3.string_Info	요새격이 온화한 작은 요정은 네 잎 클로버가 되기 위해 열심히 수련한다.		个性温和的小精灵，为了成为四片叶子的幸运草而努力修行。	
pet.4.name	공주병 물고기		自恋鱼	
pet.4.brief_info	20 코인 생요새		制造20的银币	
pet.4.lvdesc	%d초 간격으로 20 코인 여러 개 생요새		间隔%ds制造多个20的银币	
pet.4.string_Info	아름다움을 사랑하는 작은 물고기. 매력을 높이려는 모든 행동을 즐긴다, \n 이러한 요새격은 그녀가 태어난 '구름의 도시'에서 비롯된 것일지도 모른다.		将爱美天性发挥到极致的美丽小鱼，任何能增加魅力的尝试都不会放过，这个性格可能源于她出生的云中城。当然...	
pet.5.name	달콤이		小甜甜	
pet.5.brief_info	50점 마법 케이크 생요새		制造50分的魔法蛋糕	
pet.5.lvdesc	%d초 간격으로 50점 케이크 여러 개 생요새		间隔%ds制造多个50分的魔法蛋糕	
pet.5.string_Info	단 것을 가장 좋아하는 작은 요정. 케이크 만드는 솜씨가 특별히 뛰어나다.\n 이름 외에는 지금 가진 모든 것에 매우 만족하고 있다.		这个小精灵无疑是精灵中最喜欢糖的孩子，做蛋糕的手艺也特别棒。除了这个名字，他对自己现有一切都非常满意	
pet.6.name	피오나		雷多猪	
pet.6.brief_info	영웅의 체력 소모 감소		减少英雄体力消耗	
pet.6.lvdesc	체력 소모 속도 %d% 감소		体力消耗速度减慢%d%	
pet.6.string_Info	그녀의 노래와 함께 영웅들은 더욱 강해진다!\n비록 그녀의 노래는 다소 알아들을 수 없지만\n—"다시 해, 다시 해…"—\n그 힘에 비하면…		随着她吟唱的歌声，英雄就可以变得更强壮！尽管它的歌声有些听不懂“雷多，雷多…，不过，和它的能力相比，...	
pet.7.name	엔젤 하트		天使心	
pet.7.brief_info	아이템 지속 시간 증가		增加道具持续时间	
pet.7.lvdesc	아이템 지속 시간 %d초 증가		增加道具持续时间%ds	
pet.7.string_Info	오크를 풀어주어 추방당한 선량한 천사. 고향으로 돌아가기 위해 전쟁에 참여했으며, \n피에 약한 것만 빼면 훌륭하다...		善良的天使心因为私自放走服苦役的兽人而被驱除出精灵国，她为了能返回故乡而参与战争!除了会晕血，她实在...	
pet.8.name	꾸루 드래곤		咕噜龙	
pet.8.brief_info	폭탄 공격 발동		发动炸弹攻击	
pet.8.lvdesc	%d초 간격으로 폭탄 공격 발동		间隔%ds发动一次炸弹攻击	
pet.8.string_Info	꾸루 드래곤의 목구멍에서는 늘 ‘꾸루꾸루’ 소리가 난다. \n요새격이 급하고 배 속에 불덩이를 품고 있어 차분할 틈이 없다.		咕噜龙喉咙里老是咕噜咕噜的声音。他很暴躁，嗯，肚子里有一团团的火球，谁还能冷静下来？	
pet.9.name	럭키 배트		招财蝠	
pet.9.brief_info	50 코인 생요새		制造50的银币	
pet.9.lvdesc	%d초 간격으로 여러 개의 50 코인 생요새		间隔%ds制造多个50的银币	
pet.9.string_Info	돈을 탐하는 마계 박쥐. 삼킨 건 절대 뱉지 않으며, \n코인를 만들어내는 능력을 지녔다.		特别爱财的魔界蝙蝠，守财奴一只！吃进去就别想让他吐出来了。它的天赋就是制造银币	
pet.10.name	스톰볼		风暴球	
pet.10.brief_info	장애물이 영웅에게 주는 피해 감소		障碍对英雄的伤害减少	
pet.10.lvdesc	장애물 피해 %d% 감소		障碍对英雄的伤害减少%d%	
pet.10.string_Info	거침없고, 자랑스럽고, 규칙을 무시하는 것이 그의 상징이다! \n약점? 없다. 설령 있다 해도 그것마저 그의 자랑이다!		张扬，骄傲，无视规则就是他的标志！弱点？没有，即使有那也是他的骄傲！	
pet.11.name	점프하는 새		跳跳鸟	
pet.11.brief_info	100점짜리 대마법 과일 생요새		制造100分大魔法果	
pet.11.lvdesc	%d초 간격으로 여러 개의 100점 대마법 과일 생요새		间隔%ds制造多个100分的大魔法果	
pet.11.string_Info	늘 깡총깡총 뛰며 살아가는 새. 깡총깡총 노래하고, 깡총깡총 밥을 먹고, \n깡총깡총 잠을 자고, 깡총깡총 책을 읽는다. \n한마디로, 깡총깡총 뛰지 않는 순간이 없다!		喜欢跳跃着生活的鸟。跳着唱歌，跳着吃饭，跳着睡觉，跳着看书….总之，就没有不跳的时候！	
