"level"	"地图片段"	"关卡名"	关卡奖励	引导
"level"	"segs"	"name"	rewards	guide
"number"	"string"	"string"	string	string
"0"	"newplayer"	"新手关"		
"1"	"forest+1+3+16"	"森林1"		
"2"	"forest+4+2+17"	"森林2"	Prop+4+1	pet
"3"	"forest+6+5+18"	"森林3"	Prop+3+1	item
"4"	"forest+7+8+16"	"森林4"		
"5"	"castle+19+20+31"	"城堡1"	Hero+3+1	hero
"6"	"castle+21+22+32"	"城堡2"		
"7"	"castle+23+24+33"	"城堡3"	random	
"8"	"forest+9+10+17"	"森林5"		
"9"	"forest+11+12+18"	"森林6"	random	
"10"	"castle+25+26+30+31"	"城堡4"		
"11"	"castle+27+28+29+32"	"城堡5"	random	
"12"	"forest+13+14+16"	"森林7"		
"13"	"forest+15+5+3+17"	"森林8"	random	
"14"	"cave+34+35+38"	"洞穴1"		
"15"	"cave+36+37+39"	"洞穴2"	Hero+2+1	
"16"	"volcano+40+41+45"	"火山1"		
"17"	"maya+63+64+68"	"玛雅1"	random	
"18"	"desert+47+48+53"	"沙漠1"		
"19"	"ice+79+80+86+87"	"冰雪1"	random	
"20"	"ice+81+82+88"	"冰雪2"		
"21"	"cell+54+55+60"	"牢房1"	random	
"22"	"cell+56+57+61"	"牢房2"		
"23"	"cell+58+59+62"	"牢房3"	random	
"24"	"dark+101+102+103+104"	"暗黑1"		
"25"	"maya+65+66+67+69"	"玛雅2"	random	
"26"	"bush+70+71+72+77"	"灌木1"		
"27"	"bush+73+74+75+76+78"	"灌木2"	random	
"28"	"desert+49+50+51+52"	"沙漠2"		
"29"	"ice+83+84+85+87"	"冰雪3"	random	
"30"	"volcano+42+43+44+46"	"火山2"		
"31"	"dark+94+93+95+96+105"	"暗黑2"	Hero+4+1	
"32"	"dark+97+98+99+100+106"	"暗黑3"		
"33"	"dark+89+90+91+92+104"	"暗黑4"	random	
"34"	"dark+90+92+89+100+104"	"暗黑5"	random	
"35"	"forest+1+2+16"	"森林9"		
"36"	"forest+2+3+17"	"森林10"	random	
"37"	"castle+19+20+31"	"城堡6"	Hero+5+1	hero
"38"	"castle+21+22+32"	"城堡7"	random	
"39"	"cave+34+35+38"	"洞穴3"	Hero+6+1	
"40"	"volcano+40+41+45"	"火山3"	random	
"41"	"maya+63+64+68"	"玛雅3"		
"42"	"desert+47+48+53"	"沙漠3"	Hero+3+1	
"43"	"ice+79+80+86+87"	"冰雪4"	Prop+4+2	item
"44"	"ice+81+82+88"	"冰雪5"		
"45"	"cell+54+55+60"	"牢房4"	random	
"46"	"cell+56+57+61"	"牢房5"	Hero+4+1	
"47"	"dark+101+102+103+104"	"暗黑6"	random	
"48"	"maya+65+66+67+69"	"玛雅4"		
"49"	"bush+70+71+72+77"	"灌木3"	random	
"50"	"bush+73+74+75+76+78"	"灌木4"	Hero+5+1	
"51"	"desert+49+50+51+52"	"沙漠4"		
"52"	"ice+83+84+85+87"	"冰雪6"	random	
"53"	"volcano+42+43+44+46"	"火山4"		
"54"	"dark+94+93+95+96+105"	"暗黑7"	Hero+2+1	
"55"	"dark+97+98+99+100+106"	"暗黑8"		
"56"	"dark+89+90+91+92+104"	"暗黑9"	random	
"57"	"forest+13+15+16"	"森林11"	Hero+5+1	
"58"	"forest+1+2+18"	"森林12"	random	
"59"	"castle+25+26+30+31"	"城堡8"		
"60"	"castle+27+28+29+32"	"城堡9"	Hero+2+1	
"61"	"cave+34+36+39"	"洞穴4"	random	
"62"	"volcano+40+41+45"	"火山5"		
"63"	"maya+63+64+68"	"玛雅5"	Hero+4+1	
"64"	"dark+101+102+103+104"	"暗黑10"		
"65"	"bush+70+71+72+77"	"灌木5"	random	
"66"	"desert+49+50+51+52"	"沙漠5"		
"67"	"ice+83+84+85+87"	"冰雪7"	random	
"68"	"forest+1+2+16"	"森林13"	Hero+3+1	
"69"	"forest+4+3+17"	"森林14"		
"70"	"castle+19+20+31"	"城堡10"	Hero+5+1	random	
"71"	"castle+21+22+32"	"城堡11"		
"72"	"cave+34+35+39"	"洞穴5"	Hero+2+1	
"73"	"volcano+40+41+45"	"火山6"	random	
"74"	"maya+63+64+68"	"玛雅6"		
"75"	"desert+47+48+53"	"沙漠6"	Hero+3+1	
"76"	"ice+79+80+86+87"	"冰雪8"		
"77"	"cell+54+55+60"	"牢房6"	random	
"78"	"cell+56+57+61"	"牢房7"	Hero+4+1	
"79"	"dark+101+102+103+104"	"暗黑11"	random	
"80"	"maya+65+66+67+69"	"玛雅7"	Hero+5+1	
"81"	"bush+70+71+72+77"	"灌木6"		
"82"	"desert+49+50+51+52"	"沙漠7"	random	
"83"	"ice+83+84+85+87"	"冰雪9"	Hero+2+1	
"84"	"forest+1+2+17"	"森林15"		
